tick_ms,target_speed,actual_speed,control_output,position,state,faults
3120,1000.000000,1000.006897,19.999609,1609.999268,RUNNING,0x00000000
3130,1000.000000,1000.006409,19.999640,1619.999390,RUNNING,0x00000000
3140,1000.000000,1000.005920,19.999662,1629.999390,RUNNING,0x00000000
3150,1000.000000,1000.005493,19.999691,1639.999390,RUNNING,0x00000000
3160,1000.000000,1000.005127,19.999714,1649.999390,RUNNING,0x00000000
3170,1000.000000,1000.004761,19.999727,1659.999390,RUNNING,0x00000000
3180,1000.000000,1000.004395,19.999746,1669.999390,RUNNING,0x00000000
3190,1000.000000,1000.004089,19.999767,1679.999390,RUNNING,0x00000000
3200,1000.000000,1000.003784,19.999783,1689.999390,RUNNING,0x00000000
3210,1000.000000,1000.003479,19.999800,1699.999390,RUNNING,0x00000000
3220,1000.000000,1000.003235,19.999821,1709.999390,RUNNING,0x00000000
3230,1000.000000,1000.002991,19.999832,1719.999390,RUNNING,0x00000000
3240,1000.000000,1000.002747,19.999846,1729.999390,RUNNING,0x00000000
3250,1000.000000,1000.002563,19.999863,1739.999390,RUNNING,0x00000000
3260,1000.000000,1000.002380,19.999870,1749.999390,RUNNING,0x00000000
3270,1000.000000,1000.002197,19.999880,1759.999390,RUNNING,0x00000000
3280,1000.000000,1000.002014,19.999891,1769.999390,RUNNING,0x00000000
3290,1000.000000,1000.001892,19.999903,1779.999390,RUNNING,0x00000000
3300,1000.000000,1000.001770,19.999905,1789.999390,RUNNING,0x00000000
3310,1000.000000,1000.001648,19.999910,1799.999390,RUNNING,0x00000000
3320,1000.000000,1000.001526,19.999914,1809.999390,RUNNING,0x00000000
3330,1000.000000,1000.001404,19.999922,1819.999390,RUNNING,0x00000000
3340,1000.000000,1000.001282,19.999931,1829.999390,RUNNING,0x00000000
3350,1000.000000,1000.001221,19.999939,1839.999390,RUNNING,0x00000000
3360,1000.000000,1000.001160,19.999939,1849.999390,RUNNING,0x00000000
3370,1000.000000,1000.001099,19.999939,1859.999390,RUNNING,0x00000000
3380,1000.000000,1000.001038,19.999937,1869.999390,RUNNING,0x00000000
3390,1000.000000,1000.000977,19.999939,1879.999390,RUNNING,0x00000000
3400,1000.000000,1000.000916,19.999941,1889.999390,RUNNING,0x00000000
3410,1000.000000,1000.000854,19.999943,1899.999390,RUNNING,0x00000000
3420,1000.000000,1000.000793,19.999945,1909.999390,RUNNING,0x00000000
3430,1000.000000,1000.000732,19.999949,1919.999390,RUNNING,0x00000000
3440,1000.000000,1000.000671,19.999952,1929.999390,RUNNING,0x00000000
3450,1000.000000,1000.000610,19.999956,1939.999390,RUNNING,0x00000000
3460,1000.000000,1000.000549,19.999960,1949.999390,RUNNING,0x00000000
3470,1000.000000,1000.000488,19.999966,1959.999390,RUNNING,0x00000000
3480,1000.000000,1000.000427,19.999971,1969.999390,RUNNING,0x00000000
3490,1000.000000,1000.000427,19.999979,1979.999390,RUNNING,0x00000000
3500,1000.000000,1000.000366,19.999975,1989.999390,RUNNING,0x00000000
3510,1000.000000,1000.000366,19.999981,1999.999390,RUNNING,0x00000000
3520,1000.000000,1000.000366,19.999977,2009.999390,RUNNING,0x00000000
3530,1000.000000,1000.000305,19.999973,2019.999390,RUNNING,0x00000000
3540,1000.000000,1000.000305,19.999981,2029.999390,RUNNING,0x00000000
3550,1000.000000,1000.000305,19.999977,2039.999390,RUNNING,0x00000000
3560,1000.000000,1000.000244,19.999973,2049.999512,RUNNING,0x00000000
3570,1000.000000,1000.000244,19.999983,2059.999512,RUNNING,0x00000000
3580,1000.000000,1000.000244,19.999981,2069.999512,RUNNING,0x00000000
3590,1000.000000,1000.000244,19.999979,2079.999512,RUNNING,0x00000000
3600,1000.000000,1000.000244,19.999977,2089.999512,RUNNING,0x00000000
3610,1000.000000,1000.000244,19.999975,2099.999512,RUNNING,0x00000000
3620,1000.000000,1000.000183,19.999973,2109.999512,RUNNING,0x00000000
3630,1000.000000,1000.000183,19.999983,2119.999512,RUNNING,0x00000000
3640,1000.000000,1000.000183,19.999981,2129.999512,RUNNING,0x00000000
3650,1000.000000,1000.000183,19.999979,2139.999512,RUNNING,0x00000000
3660,1000.000000,1000.000183,19.999977,2149.999512,RUNNING,0x00000000
3670,1000.000000,1000.000183,19.999975,2159.999512,RUNNING,0x00000000
3680,1000.000000,1000.000183,19.999973,2169.999512,RUNNING,0x00000000
3690,1000.000000,1000.000122,19.999971,2179.999512,RUNNING,0x00000000
3700,1000.000000,1000.000122,19.999979,2189.999512,RUNNING,0x00000000
3710,1000.000000,1000.000122,19.999977,2199.999512,RUNNING,0x00000000
3720,1000.000000,1000.000122,19.999975,2209.999512,RUNNING,0x00000000
3730,1000.000000,1000.000122,19.999973,2219.999512,RUNNING,0x00000000
3740,1000.000000,1000.000061,19.999971,2229.999512,RUNNING,0x00000000
3750,1000.000000,1000.000061,19.999983,2239.999512,RUNNING,0x00000000
